date,song,artist,count,total_duration,year,week,month,listen_time_minutes
2024-10-09,i need you more (feat. Suyo),Sweet The Kid,8,1474008,2024,41,10,24.57
2024-10-09,euphoria,Kendrick Lamar,2,767278,2024,41,10,12.79
2024-10-09,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,2,621440,2024,41,10,10.36
2024-10-09,take it slow,yedira,3,618144,2024,41,10,10.3
2024-10-09,blue salvia,PRYVT,3,592614,2024,41,10,9.88
2024-10-10,Understand,MELOH,9,1440936,2024,41,10,24.02
2024-10-10,For No Reason,YAØ,5,975665,2024,41,10,16.26
2024-10-10,Strawberry Blossom,RINI,3,661602,2024,41,10,11.03
2024-10-10,if this ain't love,teo glacier,3,648945,2024,41,10,10.82
2024-10-10,next door (feat. ASTN),Amelia Moore,3,624939,2024,41,10,10.42
2024-10-11,Id,keshi,7,1203304,2024,41,10,20.06
2024-10-11,i need you more (feat. Suyo),Sweet The Kid,6,1102788,2024,41,10,18.38
2024-10-11,Last First Kiss,One Direction,5,1014994,2024,41,10,16.92
2024-10-11,Silverado For Sale,Morgan Wallen,4,896468,2024,41,10,14.94
2024-10-11,Dried Flowers(English ver.),Yuuri,3,857040,2024,41,10,14.28
2024-10-12,glide,Sweet The Kid,9,1045513,2024,41,10,17.43
2024-10-12,For No Reason,YAØ,3,568705,2024,41,10,9.48
2024-10-12,ONLY,LeeHi,2,445591,2024,41,10,7.43
2024-10-12,Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),ILLENIUM,1,354486,2024,41,10,5.91
2024-10-12,i need you more (feat. Suyo),Sweet The Kid,2,346048,2024,41,10,5.77
2024-10-13,Die With A Smile,Lady Gaga,3,739642,2024,41,10,12.33
2024-10-13,ONLY,LeeHi,3,526083,2024,41,10,8.77
2024-10-13,HITMYLINE,Concepcion,2,395024,2024,41,10,6.58
2024-10-13,Frozen,Within Temptation,1,262527,2024,41,10,4.38
2024-10-13,i know you know,CHSKA,1,260163,2024,41,10,4.34
2024-10-14,Out of the Blue,RINI,2,367846,2024,42,10,6.13
2024-10-14,Little by Little,Tritonal,1,334989,2024,42,10,5.58
2024-10-14,Monsters,Midnight Kids,1,234240,2024,42,10,3.9
2024-10-14,feel U luv Me,Knock2,1,231785,2024,42,10,3.86
2024-10-14,Glimpse of Us,Joji,1,229678,2024,42,10,3.83
2024-10-15,Out of the Blue,RINI,6,1132103,2024,42,10,18.87
2024-10-15,glide,Sweet The Kid,10,1118083,2024,42,10,18.63
2024-10-15,I Think They Call This Love,Elliot James Reay,5,827592,2024,42,10,13.79
2024-10-15,i need you more (feat. Suyo),Sweet The Kid,3,536398,2024,42,10,8.94
2024-10-15,trust me,sunkis,3,487338,2024,42,10,8.12
2024-10-16,ANGOSTURA,keshi,4,630768,2024,42,10,10.51
2024-10-16,Soft Spot,keshi,3,595112,2024,42,10,9.92
2024-10-16,Strawberry Blossom,RINI,2,430475,2024,42,10,7.17
2024-10-16,HITMYLINE,Concepcion,2,396228,2024,42,10,6.6
2024-10-16,Out of the Blue,RINI,2,381646,2024,42,10,6.36
2024-10-17,Love,Keyshia Cole,1,252170,2024,42,10,4.2
2024-10-17,May I Ask,Luke Chiang,1,225274,2024,42,10,3.75
2024-10-17,Infatuated,Rangga Jones,1,223988,2024,42,10,3.73
2024-10-17,Strawberry Blossom,RINI,1,218343,2024,42,10,3.64
2024-10-17,For No Reason,YAØ,1,190632,2024,42,10,3.18
2024-10-18,us,keshi,1,244774,2024,42,10,4.08
2024-10-18,Glimpse of Us,Joji,1,229417,2024,42,10,3.82
2024-10-18,War,keshi,2,215508,2024,42,10,3.59
2024-10-18,Bodies,keshi,1,201922,2024,42,10,3.37
2024-10-18,Soft Spot,keshi,1,200947,2024,42,10,3.35
2024-10-21,Faith,NURKO,1,247215,2024,43,10,4.12
2024-10-21,Eternity (feat. Dayce Williams),NURKO,1,226831,2024,43,10,3.78
2024-10-21,Erase You,Excision,1,221831,2024,43,10,3.7
2024-10-21,Fallin' For You,Colbie Caillat,1,215400,2024,43,10,3.59
2024-10-21,Smokin Out The Window,Bruno Mars,1,196783,2024,43,10,3.28
2024-10-22,Id,keshi,8,1255532,2024,43,10,20.93
2024-10-22,Soft Spot,keshi,5,771568,2024,43,10,12.86
2024-10-22,Versace on the Floor,Bruno Mars,3,747017,2024,43,10,12.45
2024-10-22,Say,keshi,4,634055,2024,43,10,10.57
2024-10-22,TOUCH,keshi,3,602650,2024,43,10,10.04
2024-10-23,Gone With the Wind,RINI,3,581907,2024,43,10,9.7
2024-10-23,Under The Surface,RINI,3,580309,2024,43,10,9.67
2024-10-23,Matter To You,RINI,2,479416,2024,43,10,7.99
2024-10-23,Scars,RINI,3,471698,2024,43,10,7.86
2024-10-23,Miracle,RINI,2,466772,2024,43,10,7.78
2024-10-24,Scars,RINI,6,936481,2024,43,10,15.61
2024-10-24,Your Ecstasy,RINI,4,901527,2024,43,10,15.03
2024-10-24,Matter To You,RINI,4,894737,2024,43,10,14.91
2024-10-24,Miracle,RINI,4,862218,2024,43,10,14.37
2024-10-24,Gone With the Wind,RINI,4,775691,2024,43,10,12.93
2024-10-25,The one to fall,MICO,3,517346,2024,43,10,8.62
2024-10-25,Tears in your eyes,MICO,3,483605,2024,43,10,8.06
2024-10-25,What you're not,MICO,3,465369,2024,43,10,7.76
2024-10-25,ANGOSTURA,keshi,3,452579,2024,43,10,7.54
2024-10-25,TV,MICO,3,424742,2024,43,10,7.08
2024-10-26,Tears in your eyes,MICO,32,4987799,2024,43,10,83.13
2024-10-26,What you're not,MICO,23,3270384,2024,43,10,54.51
2024-10-26,The one to fall,MICO,16,3083217,2024,43,10,51.39
2024-10-26,TV,MICO,18,2953140,2024,43,10,49.22
2024-10-26,Senses,MICO,17,2554895,2024,43,10,42.58
2024-10-27,Tears in your eyes,MICO,29,4527050,2024,43,10,75.45
2024-10-27,What you're not,MICO,7,1225613,2024,43,10,20.43
2024-10-27,TV,MICO,8,1175321,2024,43,10,19.59
2024-10-27,The one to fall,MICO,6,949047,2024,43,10,15.82
2024-10-27,Idontwannaknowyou!,MICO,5,771567,2024,43,10,12.86
2024-10-28,Tears in your eyes,MICO,27,4117033,2024,44,10,68.62
2024-10-28,The one to fall,MICO,12,2114895,2024,44,10,35.25
2024-10-28,What you're not,MICO,15,1897060,2024,44,10,31.62
2024-10-28,TV,MICO,11,1652833,2024,44,10,27.55
2024-10-28,Senses,MICO,11,1547348,2024,44,10,25.79
2024-10-29,JADED,Fordo,5,839406,2024,44,10,13.99
2024-10-29,Tears in your eyes,MICO,4,608132,2024,44,10,10.14
2024-10-29,TV,MICO,4,486433,2024,44,10,8.11
2024-10-29,HOMESICK,MICO,3,448777,2024,44,10,7.48
2024-10-29,JADED - Slowed and Reverb,Fordo,2,373216,2024,44,10,6.22
2024-10-30,JADED,Fordo,5,817805,2024,44,10,13.63
2024-10-30,OBVIOUS,Fordo,4,722849,2024,44,10,12.05
2024-10-30,Tears in your eyes,MICO,3,468527,2024,44,10,7.81
2024-10-30,Dream,keshi,2,414122,2024,44,10,6.9
2024-10-30,Bodies,keshi,2,390637,2024,44,10,6.51
2024-10-31,OBVIOUS,Fordo,5,934564,2024,44,10,15.58
2024-10-31,Soft Spot,keshi,3,524614,2024,44,10,8.74
2024-10-31,JADED,Fordo,3,524069,2024,44,10,8.73
2024-10-31,Top Tier,sunkis,3,476574,2024,44,10,7.94
2024-10-31,You Broke Me First,Conor Maynard,3,438793,2024,44,10,7.31
2024-11-01,Tears in your eyes,MICO,20,3198169,2024,44,11,53.3
2024-11-01,カワキヲアメク,美波,6,1333881,2024,44,11,22.23
2024-11-01,treat your friends,MICO,2,319272,2024,44,11,5.32
2024-11-01,JADED,Fordo,2,312725,2024,44,11,5.21
2024-11-01,Gurumi,SE SO NEON,1,214215,2024,44,11,3.57
