timestamp,song,artist,played_at
2024-10-17T00:22:41.132Z,Infatuated,Rangga Jones
2024-10-17T00:18:53.915Z,Slowly,"CLAUDIA, siopaolo"
2024-10-17T00:15:49.350Z,May I Ask,"Luke Chiang, Alexis Kim"
2024-10-17T00:11:58.256Z,madly,"Emily Vaughn, Joseph Tilley, we're ok!"
2024-10-17T00:10:17.376Z,LAST GOODBYE,sunkis
2024-10-17T00:07:48.882Z,Strawberry Blossom,RINI
2024-10-17T00:04:07.851Z,i need you more (feat. Suyo),"Sweet The Kid, Suyo"
2024-10-17T00:01:03.100Z,Settle 4 Less,CLAUDIA
2024-10-16T23:58:26.407Z,24K Magic,Bruno Mars
2024-10-16T23:54:39.913Z,Temporary Love,sunkis
2024-10-16T23:51:22.830Z,All For You,sunkis
2024-10-16T23:49:00.705Z,Last Minute,Sam MacPherson
2024-10-16T23:46:46.955Z,Moonlit Floor,LISA
2024-10-16T23:43:59.845Z,HITMYLINE,"Concepcion, Vinsint"
2024-10-16T23:40:38.675Z,Out of the Blue,RINI
2024-10-16T23:37:20.528Z,Strawberry Blossom,RINI
2024-10-16T23:14:15.098Z,next door (feat. ASTN),"Amelia Moore, ASTN"
2024-10-16T23:10:55.385Z,Soft Spot,keshi
2024-10-16T23:02:47.604Z,i need you more (feat. Suyo),"Sweet The Kid, Suyo"
2024-10-16T20:44:33.316Z,Like I Do (with sunkis),"J.Tajor, sunkis"
2024-10-16T20:42:06.220Z,i know you know,CHSKA
2024-10-16T20:37:44.507Z,I Think They Call This Love,Elliot James Reay
2024-10-16T20:34:33.611Z,trust me,sunkis
2024-10-16T20:31:47.318Z,3 new words,lullaboy
2024-10-16T20:28:55.642Z,the cutest pair,Regina Song
2024-10-16T20:26:19.947Z,Strawberry Blossom,RINI
2024-10-16T20:22:42.052Z,ANGOSTURA,keshi
2024-10-16T19:36:27.004Z,Night,keshi
2024-10-16T19:33:28.097Z,love me from a distance,"Emily Vaughn, Joseph Tilley, we're ok!"
2024-10-16T19:31:34.315Z,Heartbreak Anniversary,Giveon
2024-10-16T19:28:18.573Z,Dried Flowers(English ver.),Yuuri
2024-10-16T19:23:29.745Z,Soft Spot,keshi
2024-10-16T19:20:08.093Z,Come Play (from the series Arcane League of Legends),"Stray Kids, Young Miko, Arcane, Tom Morello, League of Legends"
2024-10-16T19:15:56.501Z,mad,eaJ
2024-10-16T19:13:01.672Z,Soft Spot,keshi
2024-10-16T18:26:02.549Z,Senses,MICO
2024-10-16T18:23:25.398Z,better for you,siopaolo
2024-10-16T15:32:01.473Z,i loved you,Beauty School Dropout
2024-10-16T15:28:57.559Z,You Broke Me First,Conor Maynard
2024-10-16T15:24:03.010Z,Hopelessly Devoted To You - Spotify Single,Alex Porat
2024-10-16T15:20:28.394Z,HITMYLINE,"Concepcion, Vinsint"
2024-10-16T15:17:08.760Z,Out of the Blue,RINI
2024-10-16T15:13:37.931Z,Like I Do (with sunkis),"J.Tajor, sunkis"
2024-10-16T15:07:50.033Z,Soft Spot,keshi
2024-10-16T15:04:28.339Z,Top Tier,sunkis
2024-10-16T15:00:05.519Z,VOICEMAIL,sunkis
2024-10-16T14:57:15.949Z,For No Reason,YAÃ˜
2024-10-16T14:54:03.453Z,if it's not you,PRYVT
2024-10-16T14:50:19.860Z,ANGOSTURA,keshi
2024-10-16T14:45:46.770Z,MIDDLE OF THE NIGHT,MONSTA X
